排名,姓名,姓名（英文）,财富（亿美元）,财富来源,国家和地区
1513,比诺德·乔达里,Binod Chaudhary,14,多元化经营,尼泊尔
1513,元谷外志雄,Toshio Motoya,14,酒店,日本
1513,陈慧慧,Vivien Chen,14,房地产,中国香港
1513,帕特里斯·莫特赛比,Patrice Motsepe,14,矿业,南非
1513,小罗伯特·柯依尤托,Robert Coyiuto Jr,14,电力,菲律宾
1513,尤金·默塔,Eugene Murtagh,14,建材,爱尔兰
1513,邓颖忠,Deng Yingzhong,14,纸业,中国内地
1513,马里乌斯·纳赫特,Marius Nacht,14,软件,以色列
1513,诺博特·丹特桑格,Norbert Dentressangle,14,"交通运输, 物流",法国
1513,南丹·尼勒卡尼,Nandan Nilekani,14,软件服务,印度
1613,安娜·玛丽亚·布雷西亚·卡费拉塔,Ana Maria Brescia Cafferata,13,"矿业, 银行业",秘鲁
1613,李坦,Li Tan,13,医药,中国内地
1613,沙姆舍尔·瓦亚利,Shamsheer Vayalil,13,医疗保健,印度
1613,林恩强,Lim Oon Kuin,13,石油交易,新加坡
1613,安娜·卡特丽娜·菲斯曼,Anna Katharina Viessmann,13,加热与制冷设备,德国
1613,保罗·宝格丽,Paolo Bulgari,13,奢侈品,意大利
1613,林伟才,Lim Wee Chai,13,橡胶手套,马来西亚
1613,王俊民,Wang Junmin,13,医药,中国内地
1613,阿米特·博缅,Amit Burman,13,消费品,印度
1613,路易斯·林德,Louise Lindh,13,投资,瑞典
1613,温鹏程及家族,Wen Pengcheng & family,13,农产业,中国内地
1613,赵藤雄,Chao Teng-hsiung,13,房地产,中国台湾
1613,刘亚超,Liu Yachao,13,教育,中国内地
1613,黄光裕及家族,Wong Kwong Yu & family,13,零售,中国内地
1613,程立力,Cheng Lili,13,禽类养殖,中国内地
1613,马飞,Ma Fei,13,电子部件,中国内地
1613,吴凯庭,Wu Kaiting,13,电子,中国香港
1613,秦荣华,Chin Jong Hwa,13,汽车零件,中国台湾
1613,马东敏,Melissa Ma,13,互联网搜索,中国内地
1613,项光明及家族,Xiang Guangming & family,13,废品处理,中国内地
1613,邱达强,Daniel Chiu,13,油气,中国香港
1613,邓肯·麦克米伦,Duncan MacMillan,13,彭博公司,美国
1613,谢菊华及家族,Xie Juhua & family,13,医药,中国内地
1613,图尔加伊·辛内,Turgay Ciner,13,多元化经营,土耳其
1613,莎拉·麦克米伦,Sarah MacMillan,13,嘉吉,美国
1613,Ken Xie,Ken Xie,13,网络安全,美国
1613,杰克·库克维尔,Jack Cockwell,13,"房地产, 私募股权",加拿大
1613,基肖尔·马里瓦拉,Kishore Mariwala,13,消费品,印度
1613,修涞贵,Xiu Laigui,13,医药,中国内地
1613,罗曼·特洛森科,Roman Trotsenko,13,"交通运输, 工程",俄罗斯
1613,吉姆·克兰恩,Jim Crane,13,"物流, 棒球",美国
1613,约翰·马丁,John Martin,13,医药,美国
1613,杨绍鹏,Yang Shaopeng,13,航运,中国内地
1613,布鲁诺·库奇利及家族,Brunello Cucinelli & family,13,时尚,意大利
1613,特伦斯（特里）·马修斯,Terence (Terry) Matthews,13,电信,加拿大
1613,叶成,Ye Cheng,13,联合大企业,中国内地
1613,亚历山大·戴奇,Alexandra Daitch,13,嘉吉,美国
1613,拉奇曼·达斯·米塔尔,Lachhman Das Mittal,13,拖拉机,印度
1613,张克强,Zhang Keqiang,13,房地产,中国内地
1613,索尔·道尔莱拉,Sol Daurella,13,可口可乐,西班牙
1613,马里奥·莫雷蒂·珀莱加托及家族,Mario Moretti Polegato & family,13,鞋类,意大利
1613,张万镇,Zhang Wanzhen,13,电子部件,中国内地
1613,达尔文·迪森,Darwin Deason,13,Xerox,美国
1613,森佳子,Yoshiko Mori,13,房地产,日本
1613,张小娟,Zhang Xiaojuan,13,物流,中国内地
1613,丹尼尔·迪恩斯,Daniel Dines,13,软件,罗马尼亚
1613,克雷格·纽马克,Craig Newmark,13,Craigslist,美国
1613,张轩宁,Zhang Xuanning,13,零售,中国内地
1613,大卫·哈丁,David Harding,13,金融,英国
1613,黄鸿年,Oei Hong Leong,13,投资,新加坡
1613,张茵,Zhang Yin,13,纸业,中国内地
1613,阿依曼·哈里里,Ayman Hariri,13,"建筑施工, 投资",黎巴嫩
1613,冈田和生及家族,Kazuo Okada & family,13,博彩,日本
1613,周成建,Zhou Chengjian,13,时尚零售,中国内地
1613,伊尔卡·赫林,Ilkka Herlin,13,"电梯, 滚梯",芬兰
1613,埃里克·保罗森及家族,Erik Paulsson & family,13,"建筑施工, 房地产",瑞典
1613,朱一明,Zhu Yiming,13,半导体,中国内地
1613,伊洛纳·赫林,Ilona Herlin,13,"电梯, 滚梯",芬兰
1613,维克托·平丘克,Victor Pinchuk,13,"钢管, 多元化经营",乌克兰
1613,安妮塔·扎克,Anita Zucker,13,化工,美国
1613,耐兰詹·赫然安达尼,Niranjan Hiranandani,13,房地产,印度
1613,海洛薇兹·普拉特,Heloise Pratt,13,"制造业, 投资",澳大利亚
1613,洪杰,Hong Jie,13,涂料,中国内地
1613,费尔南多·佑艾格,Fernando Roig,13,超市,西班牙
1613,德鲁·豪斯顿,Drew Houston,13,云存储服务,美国
1613,亚历山大·罗夫特,Alexander Rovt,13,"肥料, 房地产",美国
1613,胡赓熙及家族,Hu Gengxi & family,13,生物医药,中国内地
1613,阮洪良及家族,Ruan Hongliang & family,13,玻璃,中国内地
1613,胡扬忠,Hu Yangzhong,13,科技,中国内地
1613,沙巴什·兰瓦尔,Subhash Runwal,13,房地产,印度
1613,小韦恩·休斯,B. Wayne Hughes Jr,13,存储设施,美国
1613,莉莉·萨夫拉,Lily Safra,13,银行业,摩纳哥
1613,邓晖及家族,Hui Deng & family,13,软件,美国
1613,阿尔瓦罗·塞耶·本德克,Alvaro Saieh Bendeck,13,银行业,智利
1613,黄民奇,Archie Hwang,13,半导体,中国台湾
1613,史蒂芬·萨洛茨,Steven Sarowitz,13,薪酬软件,美国
1613,姜雪飞及家族,Jiang Xuefei & family,13,印刷电路板,中国内地
1613,史玉柱,Shi Yuzhu,13,"网络游戏, 投资",中国内地
1613,亚历山大·卡普,Alexander Karp,13,软件公司,美国
1613,弗拉德·施姆尼斯,Vlad Shmunis,13,云技术,美国
1613,尤金·卡巴斯基,Eugene Kaspersky,13,软件,俄罗斯
1613,阿尔贝托·斯卡迪及家族,Alberto Siccardi & family,13,医疗器械,瑞士
1613,柯希平及家族,Ke Xiping & family,13,投资,中国内地
1613,贾斯温德·辛格及家族,Jasminder Singh & family,13,酒店,英国
1613,安提·阿尼奥-惠利,Antti Aarnio-Wihuri,13,多元化经营,芬兰
1613,西德尼·肯莫,Sidney Kimmel,13,零售,美国
1613,瑞安·史密斯,Ryan Smith,13,云计算,美国
1613,拉然德拉·阿加瓦尔,Rajendra Agarwal,13,医药,印度
1613,吉姆·科赫,Jim Koch,13,啤酒,美国
1613,史蒂芬·史密斯,Stephen Smith,13,金融和投资,加拿大
1613,库塔伊巴·阿尔加尼姆,Kutayba Alghanim,13,多元化经营,科威特
1613,管保强,Koon Poh Keong,13,铝,马来西亚
1613,彼得·斯普勒,Peter Spuhler,13,列车车厢,瑞士
1613,罗伯托·安赫利尼·罗西,Roberto Angelini Rossi,13,"林业, 矿业",智利
1613,迈克尔·克拉斯尼,Michael Krasny,13,零售,美国
1613,露西·斯蒂泽,Lucy Stitzer,13,嘉吉,美国
1613,米卡·安托宁,Mika Anttonen,13,油气,芬兰
1613,塞巴斯蒂安·库奇科,Sebastian Kulczyk,13,多元化经营,波兰
1613,威廉姆·斯通,William Stone,13,软件,美国
1613,卡洛斯·阿迪拉·卢勒,Carlos Ardila Lülle,13,"软饮料, 多元化经营",哥伦比亚
1613,Kwek Leng Peck,Kwek Leng Peck,13,多元化经营,新加坡
1613,彼得·斯托达伦及家族,Petter Stordalen & family,13,酒店,挪威
1613,莱斯利·班贝尔格尔,Lesley Bamberger,13,房地产,荷兰
1613,弗兰克·劳基恩,Frank Laukien,13,科学设备,美国
1613,凯文·斯特罗姆,Kevin Systrom,13,Instagram,美国
1613,伊莲娜·巴图里纳,Elena Baturina,13,"投资, 房地产",俄罗斯
1613,曼弗莱迪·拉法布维利·德奥维多,Manfredi Lefebvre d'Ovidio,13,邮轮,意大利
1613,阿伦·塔拉韦拉,Alain Taravella,13,房地产开发,法国
1613,班瓦里拉尔·宝力,Banwarilal Bawri,13,医药,印度
1613,彼得·莱宾格,Peter Leibinger,13,机器工具,德国
1613,葛达尔里拉尔·宝力,Girdharilal Bawri,13,医药,印度
1613,雷吉娜·莱宾格,Regine Leibinger,13,机器工具,德国
1613,肯尼思·塔奇曼,Kenneth Tuchman,13,外包,美国
1613,威尔姆·贝尔及家族,Wilhelm Beier & family,13,医药,德国
1613,李凤鸾,Li Fengluan,13,"钢铁, 多元化经营",中国内地
1613,桑尼·瓦尔基,Sunny Varkey,13,教育,印度
1613,弗拉基米尔·波格丹诺夫,Vladimir Bogdanov,13,石油,俄罗斯
1730,杰米·戴蒙,Jamie Dimon,12,银行业,美国
1730,卢竑岩,Lu Hongyan,12,网络游戏,中国内地
1730,吴东亮,Thomas Wu,12,金融,中国台湾
1730,鲍里斯·罗滕伯格,Boris Rotenberg,12,"建筑施工, 管道",俄罗斯
1730,安德烈·科索高夫,Andrei Kosogov,12,"石油, 银行业",俄罗斯
1730,丹尼尔·柳别斯基,Daniel Lubetzky,12,零食棒,美国
1730,项光达,Xiang Guangda,12,金属,中国内地
1730,K. 迪内希,K. Dinesh,12,软件服务,印度
1730,阿南德·马欣德拉,Anand Mahindra,12,汽车,印度
1730,许英灼,Xu Yingzhuo,12,农产业,中国内地
1730,钭正刚,Dou Zhenggang,12,"能源, 化工",中国内地
1730,乔治·马库斯,George Marcus,12,房地产,美国
1730,杨铿?,Yang Keng,12,房地产,中国内地
1730,艾格恩·杜班,Egon Durban,12,私募股权,德国
1730,丹尼尔·马特,Daniel Mate,12,"矿业, 大宗商品",西班牙
1730,姚奎章,Yao Kuizhang,12,饮料,中国内地
1730,亚历山大·贾帕里泽,Alexander Dzhaparidze,12,石油服务,俄罗斯
1730,格雷戈·蒙德列,Greg Mondre,12,私募股权,美国
1730,Gang Ye,Gang Ye,12,游戏,新加坡
1730,布伦特·艾克扎西巴西,Bulent Eczacibasi,12,"医药, 多元化经营",土耳其
1730,杰里·莫耶斯,Jerry Moyes,12,交通运输,美国
1730,易大盛,Yi Dasheng,12,联合大企业,中国内地
1730,约瑟夫·埃德尔曼,Joseph Edelman,12,对冲基金,美国
1730,穆荣均,Mu Rongjun,12,电商,中国内地
1730,俞熔,Yu Rong,12,健康,中国内地
1730,鲍勃·艾尔,Bob Ell,12,房地产,澳大利亚
1730,小川贤太郎及家族,Kentaro Ogawa & family,12,餐饮,日本
1730,曾小山及家族,Zeng Xiaoshan & family,12,铝,中国内地
1730,亨利·恩格哈特,Henry Engelhardt,12,保险,美国
1730,阿尔贝托·帕拉奇,Alberto Palatchi,12,婚礼服饰,西班牙
1730,张桂平及家族,Zhang Guiping & family,12,房地产,中国内地
1730,约翰·法伯,John Farber,12,化工,美国
1730,苏西库马尔·帕拉克,Sushilkumar Parekh,12,粘合剂,印度
1730,钟声坚,Zhong Sheng Jian,12,房地产,新加坡
1730,格列布·费季索夫,Gleb Fetisov,12,投资,俄罗斯
1730,弗洛伦蒂诺·佩雷斯,Florentino Perez,12,建筑施工,西班牙
1730,周平及家族,Zhou Ping & family,12,公用事业,中国内地
1730,J.克里斯托夫·弗劳尔斯,J. Christopher Flowers,12,投资,美国
1730,马克·平卡斯,Mark Pincus,12,网络游戏,美国
1730,鲍里斯·金加雷维奇,Boris Zingarevich,12,"纸浆和纸, 多元化经营",俄罗斯
1730,米格尔·弗露克西亚·若赛罗,Miguel Fluxa Rossello,12,酒店,西班牙
1730,安德里亚斯·普勒,Andreas Pohl,12,共同基金,德国
1730,高毅及家族,Gao Yi & family,12,医药,中国内地
1730,小莱恩弗里德· 波尔,Reinfried Pohl Jr,12,共同基金,德国
1730,丹·格特勒,Dan Gertler,12,矿业,以色列
1730,傅志宽,Murdaya Poo,12,多元化经营,印尼
1730,劳伦斯·格罗布,Lawrence Golub,12,私募股权,美国
1730,福利斯特·普勒斯顿,Forrest Preston,12,医疗护理,美国
1730,耶茨·戈罗恩,Jitse Groen,12,食品配送服务,荷兰
1730,汤姆·普雷斯顿·沃纳,Tom Preston-Werner,12,协作软件,美国
1730,Kenneth Hao,Kenneth Hao,12,私募股权,美国
1730,西奥多·拉赫马特,Theodore Rachmat,12,多元化经营,印尼
1730,何小鹏,He Xiaopeng,12,电动汽车,中国内地
1730,安德烈·拉帕波特,Andrei Rappoport,12,投资,俄罗斯
1730,蒂莫西·黑丁顿,Timothy Headington,12,"油气, 投资",美国
1730,任正非,Ren Zhengfei,12,电信设备,中国内地
1730,费萨尔·本·卡西姆·阿勒萨尼,Faisal Bin Qassim Al Thani,12,"酒店, 多元化经营",卡塔尔
1730,克里斯托夫·亨克尔,Christoph Henkel,12,消费品,德国
1730,若奥·阿尔维斯·德奎罗兹·菲尔霍,Joao Alves de Queiroz Filho,12,医药,巴西
1730,胡荣达及家族,Hu Rongda & family,12,化工,中国内地
1730,托马斯·桑德尔,Thomas Sandell,12,对冲基金,瑞典
1730,马克·安德森,Marc Andreessen,12,创投,美国
1730,花轩德及家族,Hua Xuande & family,12,医药,中国内地
1730,阿纳托利·赛迪金,Anatoly Sedykh,12,钢管,俄罗斯
1730,梅米特·艾丁拉,Mehmet Aydinlar,12,医院,土耳其
1730,黄红云及家族,Huang Hongyun & family,12,房地产,中国内地
1730,布哈德里什·沙阿,Bhadresh Shah,12,工程,印度
1730,托马斯·贝利,Thomas Bailey,12,资金管理,美国
1730,黄文仔,Huang Wen Tsai,12,房地产,中国内地
1730,沈财福,Ron Sim,12,零售,新加坡
1730,萨钦·班萨尔,Sachin Bansal,12,flipkart,印度
1730,吉姆·贾斯提斯二世,Jim Justice II,12,煤炭,美国
1730,巴斯迪奥·辛格,Basudeo Singh,12,医药,印度
1730,帕维尔·鲍蒂斯,Pavel Baudis,12,软件,捷克共和国
1730,T.S. 卡利亚纳拉曼,T.S. Kalyanaraman,12,首饰,印度
1730,萨利尔·辛嘉尔,Salil Singhal,12,农业化工,印度
1730,桑杰夫·比克昌丹尼,Sanjeev Bikhchandani,12,互联网,印度
1730,Kim Sang-yeol,Kim Sang-yeol,12,建筑施工,韩国
1730,贾里德·史密斯,Jared Smith,12,云计算,美国
1730,麦克·宾格尔,Mike Bingle,12,私募股权,美国
1730,扎哈尔·斯穆什金,Zakhar Smushkin,12,"纸浆和纸, 多元化经营",俄罗斯
1730,贺南迪·博霍留勃夫,Henadiy Boholyubov,12,"银行业, 投资",乌克兰
1730,赫门德拉·科达利,Hemendra Kothari,12,金融服务,印度
1730,郭桂和,Djoko Susanto,12,超市,印尼
1730,伯纳德·布劳恩·吕迪克,Bernhard Braun-Luedicke,12,医疗技术,德国
1730,郭炳联,Raymond Kwok,12,房地产,中国香港
1730,陈江和,Sukanto Tanoto,12,多元化经营,印尼
1730,伊娃·玛利亚·布劳恩·吕迪克,Eva Maria Braun-Luedicke,12,医疗技术,德国
1730,乔·雅各布,Joe Lacob,12,金州勇士队,美国
1730,吉姆·汤普森,Jim Thompson,12,物流,美国
1730,弗雷德里克·布劳恩·吕迪克,Friederike Braun-Luedicke,12,医疗技术,德国
1730,李富真,Lee Boo-jin,12,三星,韩国
1730,伊翁·提里亚克,Ion Tiriac,12,"银行业, 保险",罗马尼亚
1730,伊丽莎白·博达,Elisabeth Burda,12,出版,德国
1730,尼古拉·勒宾格·凯姆勒,Nicola Leibinger-Kammueller,12,制造业,德国
1730,威尔玛·蒂施,Wilma Tisch,12,多元化经营,美国
1730,雅各布·博达,Jacob Burda,12,出版,德国
1730,沃尔夫冈·莱特纳,Wolfgang Leitner,12,工程,奥地利
1730,托马斯·图尔,Thomas Tull,12,"电影, 投资",美国
1730,张忠谋,Morris Chang,12,半导体,中国台湾
1730,所罗门·卢,Solomon Lew,12,零售,澳大利亚
1730,约翰·凡·利斯豪特,John Van Lieshout,12,房地产,澳大利亚
1730,张平顺,Chang Pyung-soon,12,教育服务,韩国
1730,李家权,Li Jiaquan,12,化工,中国内地
1730,拉得哈·温卜,Radha Vembu,12,科技,印度
1730,程维,Cheng Wei,12,网约车服务,中国内地
1730,李如成,Li Rucheng,12,服装,中国内地
1730,鲁菲诺·比希尔·冈萨雷斯,Rufino Vigil Gonzalez,12,钢铁,墨西哥
1730,程先锋,Cheng Xianfeng,12,医药,中国内地
1730,李晓华及家族,Li Xiaohua & family,12,包装,中国内地
1730,阿卡迪·沃罗兹,Arkady Volozh,12,搜索引擎,俄罗斯
1730,伊冯·乔伊纳德,Yvon Chouinard,12,Patagonia,美国
1730,刘名中,Liu Ming Chung,12,纸业,巴西
1730,兰·沃克,Lang Walker,12,房地产,澳大利亚
1730,朱李月华,Pollyanna Chu,12,金融服务,中国香港
1730,刘晓东,Liu Xiaodong,12,香精香料,中国内地
1730,魏少军,Wei Shaojun,12,房地产,中国内地
1730,桑多·萨尼,Sandor Csanyi,12,"金融, 房地产",匈牙利
1730,刘学景及家族,Liu Xuejing & family,12,"铜, 禽类",中国内地
1730,法里斯·威尔克斯,Farris Wilks,12,天然气,美国
1730,刁志中,Diao Zhizhong,12,软件,中国内地
1851,杜双华,Du Shuanghua,11,钢铁,中国内地
1851,雷震瀛,Brandt Louie,11,药妆店,加拿大
1851,约普·冯·登·安德,Joop van den Ende,11,电视节目,荷兰
1851,刘德光,Low Tuck Kwong,11,煤炭,印尼
1851,维姆·范·德·里戈特,Wim van der Leegte,11,制造业,荷兰
1851,法鲁克·艾克扎西巴西,Faruk Eczacibasi,11,"医药, 多元化经营",土耳其
1851,弗雷德里克·鲁迪,Frederic Luddy,11,软件,美国
1851,穆拉特·瓦尔吉,Murat Vargi,11,电信,土耳其
1851,桑蒂普·安吉尼尔,Sandeep Engineer,11,塑料管道,印度
1851,伦瑞祥及家族,Lun Ruixiang & family,11,房地产,中国内地
1851,马丁·菲斯曼,Martin Viessmann,11,加热与制冷设备,德国
1851,本尼迪克特·芬德,Benedicte Find,11,医疗器械,丹麦
1851,马秀慧,Ma Xiuhui,11,LED照明,中国内地
1851,Shigefumi Wada,Shigefumi Wada,11,软件,日本
1851,保罗·费尔曼,Paul Fireman,11,Reebok,美国
1851,加里·马格尼斯,Gary Magness,11,"有线电视, 投资",美国
1851,托德·威尼克,Todd Wanek,11,家具,美国
1851,唐纳德·福斯,Donald Foss,11,汽车贷款,美国
1851,毛中吾,Mao Zhongwu,11,制造业,中国内地
1851,王秋雄,Wang Chou-hsiong,11,鞋袜,中国台湾
1851,唐纳德·弗里斯,Donald Friese,11,制造业,美国
1851,斯特拉夫·马希依瓦,Strive Masiyiwa,11,电信,津巴布韦
1851,麦伦·温茨,Myron Wentz,11,健康产品,圣基茨和尼维斯
1851,福武总一郎,Soichiro Fukutake,11,教育,日本
1851,特里沃·米尔顿,Trevor Milton,11,电动汽车,美国
1851,理查德·怀特,Richard White,11,软件,澳大利亚
1851,斯蒂法诺·嘉班纳,Stefano Gabbana,11,奢侈品,意大利
1851,阿里斯托德利斯·密斯塔吉迪斯,Aristotelis Mistakidis,11,"矿业, 大宗商品",希腊
1851,丹·威尔克斯,Dan Wilks,11,天然气,美国
1851,弗朗克·毕塔尔·加西亚,Franco Bittar Garcia,11,零售,巴西
1851,穆法特拉杰·穆诺,Mofatraj Munot,11,房地产,印度
1851,黄子欣,Allan Wong,11,电子,中国香港
1851,贾斯滕·格洛克及家族,Gaston Glock & family,11,枪支,奥地利
1851,尼迪·奥萨沙努格拉,Niti Osathanugrah,11,"能量饮料,投资",泰国
1851,吴兰兰及家族,Wu Lanlan & family,11,包装,中国内地
1851,大卫·格鲁布,David Golub,11,私募股权,美国
1851,彭浩,Peng Hao,11,电子,中国内地
1851,吴旭,Wu Xu,11,房地产,圣基茨和尼维斯
1851,帕特里克·翰拉汗,Patrick Hanrahan,11,软件,美国
1851,罗杰·彭斯克,Roger Penske,11,汽车,美国
1851,亚历山德拉·安德烈森,Alexandra Andresen,11,投资,挪威
1851,向文波,Xiang Wenbo,11,制造业,中国内地
1851,法哈德·哈里里,Fahed Hariri,11,"建筑施工, 投资",黎巴嫩
1851,卡尔-约翰·佩尔森,Karl-Johan Persson,11,H&M,瑞典
1851,凯瑟琳娜·安德烈森,Katharina Andresen,11,投资,挪威
1851,谢良志及家族,Xie Liangzhi & family,11,生物技术,中国内地
1851,阿尔弗雷多·哈普·埃卢及家族,Alfredo Harp Helu & family,11,银行业,墨西哥
1851,汤姆·佩尔森,Tom Persson,11,H&M,瑞典
1851,阿查里雅·巴克里希纳,Acharya Balkrishna,11,消费品,印度
1851,许志翰,Xu Zhihan,11,电子,中国内地
1851,卢茨·马里奥·赫尔米西,Lutz Mario Helmig,11,医院,德国
1851,托尔·彼得森,Tor Peterson,11,大宗商品,美国
1851,比尼·班萨尔,Binny Bansal,11,flipkart,印度
1851,乔治·雅克波罗斯,George Yancopoulos,11,医药,美国
1851,侯军呈,Hou Juncheng,11,化妆品,中国内地
1851,凯文·普兰克,Kevin Plank,11,Under Armour,美国
1851,萨摩尔·巴拉塔,Samuel Barata,11,药妆店,巴西
1851,易如波,Yi Rubo,11,房地产,中国内地
1851,胡成中,Hu Chengzhong,11,制造业,中国内地
1851,阿温·珀达尔,Arvind Poddar,11,轮胎,印度
1851,塞布琳娜·贝纳通,Sabrina Benetton,11,"时尚零售, 投资",意大利
1851,袁建栋及家族,Yuan Jiandong & family,11,医药,中国内地
1851,黄关林,Huang Guanlin,11,"纺织品, 服装",中国内地
1851,迈克尔·普莱斯,Michael Price,11,投资,美国
1851,阿尔多·本萨顿,Aldo Bensadoun,11,鞋类,加拿大
1851,小理查德·云灵,Richard Yuengling Jr,11,啤酒,美国
1851,穆罕默德·易卜拉辛,Mohammed Ibrahim,11,通讯,英国
1851,戚金兴,Qi Jinxing,11,房地产,中国内地
1851,扎力克·宾诺,Zadik Bino & family,11,"银行业, 石油",以色列
1851,艾伦·齐格尔曼,Alan Zekelman,11,钢铁,加拿大
1851,托马斯·詹姆斯,Thomas James,11,金融,美国
1851,钱东奇及家族,Qian Dongqi & family,11,家用电器,中国内地
1851,马库斯·布劳彻,Markus Blocher,11,化工,瑞士
1851,郑坚江及家族,Zheng Jianjiang & family,11,电气设备,中国内地
1851,姜银台及家族,Jiang Yintai & family,11,汽车零件,中国内地
1851,米杰特·拉希姆库洛夫,Megdet Rahimkulov,11,投资,俄罗斯
1851,布莱特·布朗迪,Brett Blundy,11,"零售, 农产业",澳大利亚
1851,郑跃文及家族,Zheng Yuewen & family,11,投资,中国内地
1851,理查德·凯恩,Richard Kayne,11,投资,美国
1851,海伦娜·雷沃雷多,Helena Revoredo,11,安保服务,西班牙
1851,迪米特里·波索夫,Dmitry Bosov,11,煤矿,俄罗斯
1851,周宗文及家族,Zhou Zongwen & family,11,首饰,中国内地
1851,Kim Jung-woong,Kim Jung-woong,11,化妆品,韩国
1851,弗朗西斯科·胡塞·里伯拉斯·梅拉,Francisco Jose Riberas Mera,11,"钢铁, 汽车零件",西班牙
1851,奥列格·博伊科,Oleg Boyko,11,多元化经营,俄罗斯
1851,许伟明,Koh Wee Meng,11,"房地产, 酒店",新加坡
1851,胡安·玛利亚·里伯拉斯·梅拉,Juan Maria Riberas Mera,11,钢铁,西班牙
1851,蔡红兵,Cai Hongbin,11,医药,中国内地
1851,具光谟,Koo Kwang-mo,11,LG,韩国
1851,斯蒂芬·鲁宾,Stephen Rubin,11,运动服装,英国
1851,曹积生,Cao Jisheng,11,禽类,中国内地
1851,尤里依·科斯乌克,Yuriy Kosiuk,11,农产业,乌克兰
1851,德尼兹·萨罕克,Deniz Sahenk,11,多元化经营,土耳其
1851,张允中,Chang Yun Chung,11,航运,新加坡
1851,栗和田荣一,Eiichi Kuriwada,11,快递,日本
1851,佐治信忠,Nobutada Saji,11,饮料,日本
1851,谢富年,Jeffrey Cheah,11,房地产,马来西亚
1851,盖伊·拉里伯特,Guy Laliberté,11,太阳马戏团,加拿大
1851,法耶兹·沙罗菲,Fayez Sarofim,11,资金管理,美国
1851,陈奇星,Chen Qixing,11,电子部件,中国内地
1851,李海珍,Lee Hae-jin,11,互联网,韩国
1851,埃拉特·沙伊米耶夫,Airat Shaimiev,11,"炼油厂, 化工",俄罗斯
1851,陈睿,Chen Rui,11,网上娱乐,中国内地
1851,李叙显,Lee Seo-hyun,11,三星,韩国
1851,拉季克·沙伊米耶夫,Radik Shaimiev,11,"炼油厂, 化工",俄罗斯
1851,蔡天宝,Chua Thian Poh,11,房地产,新加坡
1851,马克·雷奥纳德及家族,Mark Leonard & family,11,软件,加拿大
1851,沈亚,Eric Ya Shen,11,网上服装零售,中国内地
1851,阿尔贝托·科尔蒂纳,Alberto Cortina,11,投资,西班牙
1851,南希·勒纳,Nancy Lerner,11,"银行业, 信用卡",美国
1851,沈锡强及家族,Shen Xiqiang & family,11,化工,中国内地
1851,崔根良,Cui Genliang,11,电气部件,中国内地
1851,诺玛·勒纳,Norma Lerner,11,银行业,美国
1851,S.D.施布拉尔,S.D. Shibulal,11,软件服务,印度
1851,戴文军,Dai Wenjun,11,食品,中国内地
1851,兰道夫·勒纳,Randolph Lerner,11,"银行业, 信用卡",美国
1851,列昂尼德·西马诺夫斯基,Leonid Simanovsky,11,投资,俄罗斯
1851,亨利·戴维斯,Henry Davis,11,牛肉加工,美国
1851,弗拉基米尔·列切克夫,Vladimir Leschikov,11,房地产,俄罗斯
1851,夏洛特·索德斯特罗姆,Charlotte Soderstrom,11,H&M,瑞典
1851,佩德罗·德·歌德尔·布埃诺,Pedro de Godoy Bueno,11,健康保险,巴西
1851,伯纳德·里维斯及家族,Bernard Lewis & family,11,时尚零售,英国
1851,迈克尔·斯坦哈特,Michael Steinhardt,11,对冲基金,美国
1851,卡米拉·德·歌德尔·布埃诺·格洛西,Camilla de Godoy Bueno Grossi,11,健康保险,巴西
1851,梁光伟,Liang Guangwei,11,联合大企业,中国内地
1851,安东尼奥·斯特罗恩斯基,Nikolay Storonsky,11,金融科技,俄罗斯
1851,本杰明·罗斯柴尔德,Benjamin de Rothschild,11,银行业,瑞士
1851,梁衍锋及家族,Liang Yanfeng & family,11,房地产,中国内地
1851,维纳柯·苏黎斯迪奥,Winarko Sulistyo,11,纸浆和纸,印尼
1851,迪亚戈·德拉·瓦莱,Diego Della Valle,11,鞋类,意大利
1851,梁昭贤,Liang Zhaoxian,11,电器,中国内地
1851,孙孟全及家族,Sun Mengquan & family,11,食用油,中国内地
1851,赛菲克·亚尔马兹·笛兹达,Sefik Yilmaz Dizdar,11,时尚零售,土耳其
1851,刘革新,Liu Gexin,11,医药,中国内地
1851,孙喜双,Sun Xishuang,11,房地产,中国内地
1851,杜梅尼科· 多尔奇,Domenico Dolce,11,奢侈品,意大利
1851,楼忠福及家族,Lou Zhongfu & family,11,房地产,中国内地
1851,唐金奎及家族,Tang Jinkui & family,11,"纺织品, 石化",中国内地
1851,马利克·多斯皮瓦,Marek Dospiva,11,投资,捷克共和国
1990,GT.德福,GT Dave,10,康普茶,美国
1990,克里斯托弗·卢克斯,Christopher Rokos,10,对冲基金,英国
1990,科斯特扬丁·萨维果,Kostyantin Zhevago,10,矿业,乌克兰
1990,严彬,Chanchai Ruayrungruang,10,房地产,中国内地
1990,周永利及家族,Zhou Yongli & family,10,联合大企业,中国内地
1990,安丁·多安,Aydin Dogan,10,媒体,土耳其
1990,伊戈尔·雷巴科夫,Igor Rybakov,10,建材,俄罗斯
1990,莉莎·得雷克斯迈尔,Lisa Draexlmaier,10,汽车零件,德国
